지점번호,지점명,일시,평균기온(℃),최고기온(℃),,최고기온시각,최저기온(℃),최저기온시각일교차
108,서울,2002.6.1,20.2,24.8,12:29,17.1,0:06,7.7
108,서울,2002.6.2,22.9,30,15:08,15.3,4:50,14.7
108,서울,2002.6.3,23.4,29.1,14:45,17.6,5:31,11.5
108,서울,2002.6.4,22.4,27.6,14:06,18.2,4:29,9.4
108,서울,2002.6.5,25.2,31.4,15:13,19.1,4:43,12.3
108,서울,2002.6.6,25.9,31.2,13:07,21.2,5:57,10
108,서울,2002.6.7,25.2,30.6,13:23,19.6,23:56,11
108,서울,2002.6.8,22.1,27.1,17:03,19.4,0:15,7.7
108,서울,2002.6.9,22.8,28,13:12,18.3,5:12,9.7
108,서울,2002.6.10,22.4,26.6,13:23,20,23:00,6.6
108,서울,2002.6.11,21.9,26.8,15:14,19,4:20,7.8
108,서울,2002.6.12,18.6,22.9,10:47,16.6,4:08,6.3
108,서울,2002.6.13,19.7,24.4,14:35,16,5:09,8.4
108,서울,2002.6.14,20.4,25,13:00,16.4,5:18,8.6
108,서울,2002.6.15,20.6,24.8,17:10,17.4,4:53,7.4
108,서울,2002.6.16,22.4,28.6,15:46,15.7,5:06,12.9
108,서울,2002.6.17,23.2,28.4,13:50,17.9,5:28,10.5
108,서울,2002.6.18,23.4,28.9,14:08,19,5:56,9.9
108,서울,2002.6.19,22.3,26.2,14:51,20.2,2:03,6
108,서울,2002.6.20,22.2,26.1,14:42,19.2,8:38,6.9
108,서울,2002.6.21,23.6,28.4,15:38,18.8,5:48,9.6
108,서울,2002.6.22,23.7,29.2,15:45,18.9,6:17,10.3
108,서울,2002.6.23,18.1,21.3,0:00,16.9,7:45,4.4
108,서울,2002.6.24,16.4,17.7,9:04,15.3,13:57,2.4
108,서울,2002.6.25,19.8,25,15:11,15.5,4:48,9.5
108,서울,2002.6.26,20.9,27.7,16:41,14.5,5:02,13.2
108,서울,2002.6.27,21.6,27.5,12:57,16.5,5:25,11
108,서울,2002.6.28,23.6,30,15:05,17.4,5:21,12.6
108,서울,2002.6.29,25.8,32,16:09,18.9,4:54,13.1
108,서울,2002.6.30,26.3,31.5,13:17,22.4,5:32,9.1